x,y,prob_default,orig_index
6.936147,3.3643548,0.2970995332416649,4039
5.127772,7.7906036,0.8292370225109507,3527
2.2483509,10.393799,0.6251847418042871,1088
5.976118,5.379663,0.23816470084390262,4569
4.5540285,5.300883,0.2854220870690757,1243
6.544647,2.675012,0.17692924292820483,1322
7.3267465,-0.44774526,0.16407556837981072,3863
5.3225555,7.4700766,0.7246480643241442,3880
-0.030537186,4.842032,0.5198048072440842,1747
3.6305385,11.607403,0.2905335191092227,5227
9.188041,4.747084,0.8690475195769474,210
1.4909377,6.057033,0.3703729661564528,4159
3.8505366,6.987468,0.5671639329646239,3189
6.897866,-1.885837,0.16917816060898752,1524
9.813691,0.7708057,0.3732003996175353,3682
5.1452336,8.908716,0.23463703664613608,708
3.0942168,10.3681,0.4068070993752217,3859
8.825431,4.8486943,0.8660431990586234,4405
5.0317,10.28141,0.19626166631111444,1369
6.6035705,8.208473,0.8052171621352967,4099
3.157222,6.728551,0.6793386269356629,2411
2.463665,1.7041136,0.21577636560170124,5223
3.9651172,5.6387353,0.28146359819532935,383
6.844455,8.59523,0.18336592347253383,4056
5.579214,10.082196,0.3976578917926561,5647
4.6328697,10.756182,0.2294601888948953,5927
10.208246,0.086177416,0.40650306897282135,5611
6.9813137,4.9460716,0.7723033828028424,3413
2.226902,12.031742,0.18670498873115327,2069
5.8730044,10.129825,0.42737016872292705,2784
6.8734493,-1.791509,0.2987519155713029,5058
7.046321,-0.7215776,0.1357981875204145,120
9.178714,1.3801291,0.318376917013467,4236
9.537345,5.539818,0.7267665789653018,4376
7.413983,-0.82705355,0.31169171109205857,2563
1.8029392,6.078019,0.3301061336500791,2049
5.160199,8.094286,0.79089428278332,3403
4.73775,5.607806,0.27058176764948866,5625
3.8014262,0.22332408,0.4060140050438953,3052
5.493973,0.9251882,0.26448106005290606,5380
6.9084496,5.391627,0.40246593343627773,3266
9.808822,-0.19345075,0.23139126101471927,4229
6.3642025,1.5760561,0.3592214938004967,1492
9.182145,0.7914368,0.49895413267947575,5867
6.665369,6.753199,0.2561710385912298,655
5.1875706,8.092976,0.6830041179300017,1575
-0.6943877,6.8806887,0.16015876937257673,5449
6.5271373,8.000776,0.28757168959897395,3195
5.3144565,10.484389,0.21416886866827617,642
9.89279,4.899728,0.9000054980548612,5623
4.6970844,2.9566667,0.2762684478706926,1293
-0.54111135,6.5957284,0.47137717852206434,2374
3.6425624,6.9322467,0.7055888904575893,2524
-1.5820525,5.549452,0.47444234852165407,5212
9.2427845,3.5012248,0.8855593767418923,4215
3.640554,10.719214,0.45044598117844126,101
1.6731471,11.485983,0.5811081048920675,511
6.767893,7.451369,0.24890471771231146,2205
8.124989,2.5561619,0.28339202625234444,1257
4.997216,9.149669,0.3242578228508848,2340
6.3423285,8.98162,0.3414981599605409,1548
6.6968036,5.8892517,0.3094729689916378,4654
0.22181347,4.6245575,0.47477489507771525,5332
-1.8999485,5.221153,0.3058600396647947,5083
0.53259665,5.3416486,0.3163991344130904,5350
7.8072104,3.015305,0.2719942511643246,2699
-0.68898076,6.818462,0.5182080427426677,2129
2.3556266,3.1269753,0.20196351665860388,357
2.1523693,6.3592954,0.3253796738085947,3723
8.066783,-0.9567445,0.40244575360887913,2308
9.596073,4.796592,0.9176504620687786,4973
4.044326,11.202704,0.2854197943033949,5979
1.6745255,11.467026,0.5051851572733664,24
4.139646,-0.11940896,0.39510905686042636,687
